Region,Model,Metric,PointEstimate,CI_lower,CI_upper,n_valid_boot
North America,Proposed SFTNN,ROC-AUC,0.841724442491459,0.8294940959351796,0.8544097300793088,2000
North America,Proposed SFTNN,PR-AUC,0.8655020403468607,0.849859742717101,0.8805130080376528,2000
South Asia,Standard MLP (baseline),Accuracy,0.7477477477477478,0.6666666666666666,0.8198198198198198,2000
South Asia,Standard MLP (baseline),Precision,0.6666666666666666,0.4856926406926407,0.8378596338273756,2000
South Asia,Standard MLP (baseline),Recall,0.5263157894736842,0.3657982261640798,0.6774193548387096,2000
South Asia,Standard MLP (baseline),F1,0.5882352941176471,0.43333333333333335,0.7142857142857143,2000
South Asia,Standard MLP (baseline),ROC-AUC,0.7555875991348234,0.6513105846102598,0.8535889726599185,2000
South Asia,Standard MLP (baseline),PR-AUC,0.7091908435930924,0.5674153967241062,0.8301269108105913,2000
South Asia,XGBoost (baseline),Accuracy,0.8108108108108109,0.7387387387387387,0.8828828828828829,2000
South Asia,XGBoost (baseline),Precision,0.8695652173913043,0.7058823529411765,1.0,2000
South Asia,XGBoost (baseline),Recall,0.5263157894736842,0.3665909090909091,0.6800454545454544,2000
South Asia,XGBoost (baseline),F1,0.6557377049180327,0.5,0.7778248587570619,2000
South Asia,XGBoost (baseline),ROC-AUC,0.8334534967555876,0.7521051103368176,0.9063408677873693,2000
South Asia,XGBoost (baseline),PR-AUC,0.774177078052751,0.6505593722818044,0.8780321040950874,2000
South Asia,TabNet (baseline),Accuracy,0.7747747747747747,0.6936936936936937,0.8468468468468469,2000
South Asia,TabNet (baseline),Precision,0.76,0.5714285714285714,0.92,2000
South Asia,TabNet (baseline),Recall,0.5,0.34285714285714286,0.6571616541353382,2000
South Asia,TabNet (baseline),F1,0.6031746031746031,0.4444444444444444,0.7324178403755868,2000
South Asia,TabNet (baseline),ROC-AUC,0.7750540735400144,0.675028443640384,0.8644181585677747,2000
South Asia,TabNet (baseline),PR-AUC,0.6917730450173746,0.5528311028750401,0.8243342106961908,2000
South Asia,Proposed SFTNN,Accuracy,0.7837837837837838,0.7117117117117117,0.8558558558558559,2000
South Asia,Proposed SFTNN,Precision,0.7333333333333333,0.5714285714285714,0.8846153846153846,2000
South Asia,Proposed SFTNN,Recall,0.5789473684210527,0.4166666666666667,0.7272727272727273,2000
South Asia,Proposed SFTNN,F1,0.6470588235294118,0.5079141515761234,0.7619480519480517,2000
South Asia,Proposed SFTNN,ROC-AUC,0.8374188896899784,0.7514355797618939,0.9122236092111263,2000
South Asia,Proposed SFTNN,PR-AUC,0.7787173811074626,0.6528479768412863,0.882538554288024,2000
Southeast Asia,Standard MLP (baseline),Accuracy,0.7631578947368421,0.6578947368421053,0.8552631578947368,2000
Southeast Asia,Standard MLP (baseline),Precision,0.7333333333333333,0.5666666666666667,0.8888888888888888,2000
Southeast Asia,Standard MLP (baseline),Recall,0.6875,0.5172413793103449,0.8438100961538458,2000
Southeast Asia,Standard MLP (baseline),F1,0.7096774193548387,0.5666666666666667,0.8311688311688312,2000
Southeast Asia,Standard MLP (baseline),ROC-AUC,0.7642045454545453,0.641657417195208,0.8686739957813646,2000
Southeast Asia,Standard MLP (baseline),PR-AUC,0.7519136368648227,0.6086681062053864,0.8734960853047957,2000
Southeast Asia,XGBoost (baseline),Accuracy,0.75,0.6578947368421053,0.8421052631578947,2000
Southeast Asia,XGBoost (baseline),Precision,0.76,0.5789473684210527,0.92,2000
Southeast Asia,XGBoost (baseline),Recall,0.59375,0.4192876344086022,0.7575757575757576,2000
