startup_name,city,industry,sub_vertical,investors,investment_type,amount_usd,amount_flag_check_currency,funding_date,founding_date,founders,country,region_group,year_folder,source_file
Green Soul,Ambernath,Consumer Goods,Green Soul is No.1 brand on Amazon India in Ergonomic chairs category in terms of customer reviews.,velocity.in,,200000.0,False,,2016.0,Ravi Khushwani,India,South Asia,2021,Jul_2021.csv
Shiprocket,New Delhi,Logistics,India's #1 eCommerce Logistics and Shipping Solution Empowering over 1 Lakh Indian eCommerce Sellers.,"March Capital, Tribe Capital",Series D,41000000.0,False,,2012.0,"Saahil Goel, Akshay Ghulati",India,South Asia,2021,Jul_2021.csv
DealShare,Bangalore,Retail,The next generation disruptive (social) e-commerce product for the masses.,Tiger Global,,144000000.0,False,,2018.0,"Rajat Shikhar, Vineet Rao, Sourjyendu Medda",India,South Asia,2021,Jul_2021.csv
Teachmint,Bangalore,EdTech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,Learn Capital,Pre-Series B,20000000.0,False,,2020.0,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",India,South Asia,2021,Jul_2021.csv
Vahak,Bangalore,Transportation,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,RTP Global,Pre-Series A,5000000.0,False,,2017.0,"Vikas Chandrawat, Karan Shaha",India,South Asia,2021,Jul_2021.csv
goSTOPS,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"IAN, Yuj Ventures",Pre-Series A,1000000.0,False,,2014.0,"Pallavi Agarwal, Pankaj Parwanda",India,South Asia,2021,Jul_2021.csv
Codedamn,New Delhi,Computer software,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Antler India,Pre-Seed,,False,,2020.0,Mehul Mohan,India,South Asia,2021,Jul_2021.csv
Biocraft Innovation Technology,Noida,Environmental service,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,JITO Angel Network,Pre-Seed,,False,,2019.0,"Vibha Mittal, Anubhav Mittal",India,South Asia,2021,Jul_2021.csv
Powerplay,Bangalore,Construction,Powerplay helps simplify end to end Construction and Architecture project management.,"Sequoia’s Surge, Accel Partners",,5200000.0,False,,2020.0,"Shubham Goyal, Lesh Dixit",India,South Asia,2021,Jul_2021.csv
Accio Robotics,Bangalore,Industrial Automation,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,Uday Sodhi,,,False,,2020.0,"Tuhin Sharma, Pranav Srinivasan",India,South Asia,2021,Jun_2021.csv
Delhivery,Gurugram,Logistics,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Fidelity, GIC",Series H,270000000.0,False,,2011.0,"Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan",India,South Asia,2021,Jun_2021.csv
Avishkaar,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,Auxano,Pre-Series A,600000.0,False,,2014.0,"Rajeev Gaba, Tarun Bhalla",India,South Asia,2021,Jun_2021.csv
Jobsgaar,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,SucSEED Indovation Fund,Seed Funding,140000.0,False,,2020.0,Atul Pratap Singh,India,South Asia,2021,Jun_2021.csv
Almo,Gurugram,D2C Fashion,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Angelist India,Seed Funding,,False,,2020.0,Abhishek Shah,India,South Asia,2021,Jun_2021.csv
Breathe Well-being,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Stanford Angels and Entrepreneurs India, Anjali Bansal",Pre-Series A,1000000.0,False,,2015.0,"Aditya Kaicker, Rohan Verma",India,South Asia,2021,Jun_2021.csv
GalaxEye,Chennai,SpaceTech,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,Speciale Invest,Pre-Seed,,False,,2020.0,"Denil Chawda, Kishan Thakkar, Pranit Mehta, Satyanarayanan Chakravarthy, Suyash Singh",India,South Asia,2021,Jun_2021.csv
Good Health Clinic,Hyderabad,HealthCare,Full Stack Digital Health Clinic,Khosla Ventures,,5000000.0,False,,2021.0,Samarth Sindhi,India,South Asia,2021,Jun_2021.csv
Urban Company,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Vy Capital, Wellington Management",Series F,250000000.0,False,,2014.0,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",India,South Asia,2021,Jun_2021.csv
Mybyk,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,Avon Cycles,Pre-Series A,1000000.0,False,,2014.0,Arjit Soni,India,South Asia,2021,Jun_2021.csv
Locus,Bangalore,Logistics,Locus is an intelligent decision-making and automation platform for logistics.,"Blume Ventures, Exfinity Venture Partners",Series C,50000000.0,False,,2015.0,"Geet Garg, Nishith Rastogi",India,South Asia,2021,Jun_2021.csv
Crejo.Fun,Bangalore,EdTech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,"Matrix Partners India, 021 Capital",Seed Funding,3000000.0,False,,2020.0,Vikas Bansal,India,South Asia,2021,Jun_2021.csv
Bambinos,Bangalore,EdTech,Cohort based extracurricular course for kids,"HNIs, Angels",Seed Funding,500000.0,False,,2020.0,"Ashish Gupta, Ankit Hetamsaria",India,South Asia,2021,Jun_2021.csv
KreditBee,Bangalore,FinTech,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"NewQuest Capital Partners, Motilal Oswal Private Equity",,8000000.0,False,,2018.0,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong",India,South Asia,2021,Jun_2021.csv
